origin,product,perc,sum_kg_product,category
ALAVA,ACHICORIA,0.01,279,Verdura
ALAVA,ATUN,0.04,1200,Pescado congelado
ALAVA,AVICOLA,0.26,8030,Pollo
ALAVA,BESUGO,0,10,Pescado
ALAVA,CALAMAR,0,10,Pescado
ALAVA,CALAMARES,0,16,Pescado congelado
ALAVA,CEBOLLA,0.25,7600,Verdura
ALAVA,CHIPIRONES,0,10,Pescado
ALAVA,COL CHINA,0.02,720,Verdura
ALAVA,COLES,0,120,Verdura
ALAVA,COLES-REPOLLO,0.17,5160,Verdura
ALAVA,CROQUETAS,0,15,Pescado congelado
ALAVA,CUARTA,0.07,2140,Verdura
ALAVA,ELABORADOS,1.09,33620,Pescado congelado
ALAVA,EMPANADILLAS,0,17,Pescado congelado
ALAVA,ENDIBIA,0.09,2821,Verdura
ALAVA,ESCAROLAS,0.27,8400,Verdura
ALAVA,FANECAS,0,25,Pescado
ALAVA,HALIBUT,0,140,Pescado congelado
ALAVA,HUEVOS,0.45,13800,Huevos
ALAVA,JIBIA,0,10,Pescado
ALAVA,JUREL,0,25,Pescado
ALAVA,LECHUGA,0.11,3480,Verdura
ALAVA,MANZANA,0.08,2480,Fruta
ALAVA,MUJOL,0,10,Pescado
ALAVA,MUSLITOS,0,8,Pescado congelado
ALAVA,OVINO,0.15,4600,Carne
ALAVA,PALITOS,0,19,Pescado congelado
ALAVA,PATATA,63.43,1964168,Patata
ALAVA,PAVO,0.54,16760,Pollo
ALAVA,POLLO,31.59,978224,Pollo
ALAVA,PORCINO,0.61,19000,Carne
ALAVA,SABLE,0,10,Pescado
ALAVA,SALMONETE,0,25,Pescado
ALAVA,SARGO,0,20,Pescado
ALAVA,VACUNO,0.77,23800,Carne
ALAVA,VOLADORES,0,5,Pescado congelado
ALBACETE,ACELGAS,0.05,1300,Verdura
ALBACETE,AJO TIERNO,0.14,4010,Verdura
ALBACETE,AJOS,4.67,129695,Verdura
ALBACETE,ALBARICOQUE,1.94,53800,Fruta
ALBACETE,APIO,0.28,7680,Verdura
ALBACETE,APIONABO,0.03,760,Verdura
ALBACETE,BROCOLI,0.08,2200,Verdura
ALBACETE,CALABACIN,0.3,8440,Verdura
ALBACETE,CASTAÑA,0.28,7700,Fruta
ALBACETE,CEBOLLA,34.64,961706,Verdura
ALBACETE,CEREZAS,0.07,2000,Fruta
ALBACETE,CHAMPIÑON,45.38,1259636,Verdura
ALBACETE,COLIFLOR,0.72,20100,Verdura
ALBACETE,CUARTA,0.79,21960,Verdura
ALBACETE,ELABORADOS,0.15,4120,Verdura
ALBACETE,ESPINACAS,0,130,Verdura
ALBACETE,LECHUGA,0.46,12800,Verdura
ALBACETE,MELOCOTON,0.81,22560,Fruta
ALBACETE,POLLO,1.11,30945,Pollo
ALBACETE,PORCINO,0.17,4780,Carne
ALBACETE,RABANOS,0.16,4340,Verdura
ALBACETE,SETAS,7.76,215306,Verdura
ALICANTE,ACELGAS,0.03,4150,Verdura
ALICANTE,ACHICORIA,0,315,Verdura
ALICANTE,AJO TIERNO,0.02,2433,Verdura
ALICANTE,AJOS,0.63,78657,Verdura
ALICANTE,ALBARICOQUE,3.19,397091,Fruta
ALICANTE,ALCACHOFA,3.32,413215,Verdura
ALICANTE,ALMENDRA,0.37,46624,Fruta
ALICANTE,ALPICOCES,0.01,780,Verdura
ALICANTE,ANCHOA,0,29,Pescado
ALICANTE,AÑOJO,0.17,20916,Carne
ALICANTE,APIO,0.67,83625,Verdura
ALICANTE,APIONABO,0.07,8270,Verdura
ALICANTE,ATUN,0.03,3900,Pescado
ALICANTE,AVICOLA,0.03,3800,Pollo
ALICANTE,BATATAS,0.14,18000,Verdura
ALICANTE,BERENJENAS,0.02,2750,Verdura
ALICANTE,BERROS,0.03,4000,Verdura
ALICANTE,BIGAROS,0.03,3500,Marisco
ALICANTE,BONIATOS,0.43,53000,Verdura
ALICANTE,BOQUERON,0.01,1054,Pescado
ALICANTE,BORRAJAS,0.02,2000,Verdura
ALICANTE,BREVAS,3.19,397020,Fruta
ALICANTE,BROCOLI,0.94,116434,Verdura
ALICANTE,CACAHUETE,0.75,93248,Fruta
ALICANTE,CALABACIN,0.22,26939,Verdura
ALICANTE,CALABAZA,0.43,53406,Verdura
ALICANTE,CALABAZAS,0.19,23994,Verdura
ALICANTE,CAQUI,0.64,80000,Fruta
ALICANTE,CEBOLLA,0.95,117671,Verdura
ALICANTE,CEREZAS,0.6,74390,Fruta
ALICANTE,CHIPIRONES,0.07,9320,Pescado
ALICANTE,CHIRIVIAS,0,500,Verdura
ALICANTE,CIGALAS,0,300,Marisco
ALICANTE,CIRUELA,0,400,Fruta
ALICANTE,CIRUELAS,0.06,7600,Fruta
ALICANTE,COL,0.23,29000,Verdura
ALICANTE,COL CHINA,0.03,3952,Verdura
ALICANTE,COLES,0,359,Verdura
ALICANTE,COLES-REPOLLO,0.23,28620,Verdura
ALICANTE,COLIFLOR,0.63,78585,Verdura
ALICANTE,CONSERVAS,0.02,2780,Verdura
ALICANTE,CUARTA,0.07,8860,Verdura
ALICANTE,CUARTA GAMA FRUTAS,0.14,17435,Fruta
ALICANTE,DATIL,0.11,14305,Fruta
ALICANTE,DORADA,0.2,24398,Pescado
ALICANTE,ELABORADOS,0.02,2000,Pescado congelado
ALICANTE,ELABORADOS,0.06,8000,Verdura
ALICANTE,ENDIBIA,0.03,3185,Verdura
ALICANTE,ESCAROLAS,0.06,7000,Verdura
ALICANTE,ESPARRAGO,0.01,1750,Verdura
ALICANTE,FANECAS,0.04,4860,Pescado
ALICANTE,GAMBAS,0.05,5663,Marisco
ALICANTE,GRANADAS,7.07,880110,Fruta
ALICANTE,GUISANTES,2.77,344532,Verdura
ALICANTE,HABAS,4.22,525898,Verdura
ALICANTE,HINOJO,0,300,Verdura
ALICANTE,JUDIA,0,320,Verdura
ALICANTE,KIWI,0.03,4300,Fruta
ALICANTE,LAUREL,0,300,Verdura
ALICANTE,LECHUGA,1.48,184490,Verdura
ALICANTE,LIMON,9.38,1168392,Fruta
ALICANTE,LUBINA,0,455,Pescado
ALICANTE,MANDARINA,4.72,587620,Fruta
ALICANTE,MELOCOTON,0.96,119570,Fruta
ALICANTE,MELONES,0.2,25100,Fruta
ALICANTE,MORAS,0,150,Fruta
ALICANTE,NABOS,0.02,2000,Verdura
ALICANTE,NARANJA,14.59,1816442,Fruta
ALICANTE,NECTARINA,0.29,35820,Fruta
ALICANTE,NISPEROS,3.6,448370,Fruta
ALICANTE,OVINO,0.01,1500,Carne
ALICANTE,PALOMETA,0,115,Pescado
ALICANTE,PANCHITO,0.47,58281,Fruta
ALICANTE,PAPAYA,0.02,2400,Fruta
ALICANTE,PARAGUAYAS,0.04,5500,Fruta
ALICANTE,PATATA,2.95,366861,Patata
ALICANTE,PAVO,0.22,27760,Pollo
ALICANTE,PEPINO,0.2,25200,Verdura
ALICANTE,PERA,0.01,1500,Fruta
ALICANTE,PEREJIL,0.01,1460,Verdura
ALICANTE,PIMIENTO,0.84,104258,Verdura
ALICANTE,PISTACHO,0.28,34969,Fruta
ALICANTE,PLATANO,0.01,1500,Fruta
ALICANTE,POLLO,4.92,613054,Pollo
ALICANTE,POMELO,7.47,930237,Fruta
ALICANTE,PORCINO,0.17,20730,Carne
ALICANTE,PUERROS,0.02,2720,Verdura
ALICANTE,RABANOS,0.02,2390,Verdura
ALICANTE,REMOLACHA,0.19,24140,Verdura
ALICANTE,SALMON,0,401,Pescado
ALICANTE,SANDIA,0.13,16800,Fruta
ALICANTE,TIRABEQUES,0.01,1436,Verdura
ALICANTE,TOMATE,6.1,759564,Verdura
ALICANTE,TRUCHA,0,29,Pescado
ALICANTE,UVA,6.92,862022,Fruta
ALICANTE,VACUNO,0.37,46636,Carne
ALICANTE,ZANAHORIA,0.03,4300,Verdura
ALMERIA,ACEDIAS,0,300,Pescado
ALMERIA,ACELGAS,0.25,406455,Verdura
ALMERIA,ACHICORIA,0,1543,Verdura
ALMERIA,AGUACATE,0,4144,Fruta
ALMERIA,AJO TIERNO,0,6105,Verdura
ALMERIA,AJOS,0.12,197358,Verdura
ALMERIA,ALACHA,0,500,Pescado
ALMERIA,ALBARICOQUE,0.12,194630,Fruta
ALMERIA,ALCACHOFA,0.58,941886,Verdura
ALMERIA,ALMENDRA,0,3462,Fruta
ALMERIA,AÑOJO,0.01,11710,Carne
ALMERIA,APIO,0.61,990089,Verdura
ALMERIA,APIONABO,0.06,97921,Verdura
ALMERIA,ATUN,0,300,Pescado
ALMERIA,BATATAS,0.01,22190,Verdura
ALMERIA,BERENJENAS,1.67,2704900,Verdura
ALMERIA,BERROS,0,6545,Verdura
ALMERIA,BONIATOS,0.07,120255,Verdura
ALMERIA,BONITO,0,150,Pescado
ALMERIA,BORRAJAS,0,4350,Verdura
ALMERIA,BROCOLI,0.66,1074479,Verdura
ALMERIA,CACAHUETE,0,6924,Fruta
ALMERIA,CALABACIN,3.86,6254446,Verdura
ALMERIA,CALABAZA,0.21,340133,Verdura
ALMERIA,CALABAZAS,0.09,152816,Verdura
ALMERIA,CALAMAR,0,135,Pescado
ALMERIA,CAQUI,0.01,15330,Fruta
ALMERIA,CARDOS,0,7952,Verdura
ALMERIA,CARLOTAS,0,2500,Verdura
ALMERIA,CEBOLLA,0.37,599840,Verdura
ALMERIA,CEREZAS,0.01,23160,Fruta
ALMERIA,CHAMPIÑON,0.02,40200,Verdura
ALMERIA,CHERNAS,0,200,Pescado
ALMERIA,CHIRIMOYAS,0.02,37447,Fruta
ALMERIA,CHIRIVIAS,0.01,10440,Verdura
ALMERIA,CHIRLA,0,570,Marisco
ALMERIA,CIRUELA,0,4620,Fruta
ALMERIA,CIRUELAS,0,1380,Fruta
ALMERIA,COL,0.18,297893,Verdura
ALMERIA,COL CHINA,0.06,93792,Verdura
ALMERIA,COLES,0.01,12200,Verdura
ALMERIA,COLES-REPOLLO,0.42,675618,Verdura
ALMERIA,COLIFLOR,1,1613919,Verdura
ALMERIA,CONGELADOS,0.1,159510,Verdura
ALMERIA,CONSERVAS,0.07,108735,Verdura
ALMERIA,CUARTA,0.27,437991,Verdura
ALMERIA,CUARTA GAMA FRUTAS,0,6980,Fruta
ALMERIA,DORADA,0,220,Pescado
ALMERIA,ELABORADOS,0.19,308200,Verdura
ALMERIA,ENDIBIA,0.01,15597,Verdura
ALMERIA,ESCAROLAS,0.11,183673,Verdura
ALMERIA,ESPARRAGO,0.21,344195,Verdura
ALMERIA,ESPINACAS,0.12,201320,Verdura
ALMERIA,FRUTA DE LA PASION,0,1800,Fruta
ALMERIA,GRANADAS,0,2000,Fruta
ALMERIA,GRELOS,0,7950,Verdura
ALMERIA,GUINDILLAS,0,3804,Verdura
ALMERIA,GUISANTES,0.41,666962,Verdura
ALMERIA,HABAS,0.56,909314,Verdura
ALMERIA,HINOJO,0,5500,Verdura
ALMERIA,JUDIA,1.08,1755945,Verdura
ALMERIA,LAUREL,0.02,24462,Verdura
ALMERIA,LECHUGA,10.73,17368763,Verdura
ALMERIA,LENGUADO,0,234,Pescado
ALMERIA,LIMON,0.49,792049,Fruta
ALMERIA,LUBINA,0,200,Pescado
ALMERIA,MAIZ,0.01,21260,Verdura
ALMERIA,MANDARINA,0.38,617336,Fruta
ALMERIA,MANGOS,0,1200,Fruta
ALMERIA,MELOCOTON,0.1,166636,Fruta
ALMERIA,MELONES,5.31,8601471,Fruta
ALMERIA,MERO,0,70,Pescado
ALMERIA,NABOS,0.11,184730,Verdura
ALMERIA,NARANJA,0.7,1129238,Fruta
ALMERIA,NECTARINA,0.02,25670,Fruta
ALMERIA,NISPEROS,0.01,23730,Fruta
ALMERIA,PANCHITO,0,4328,Fruta
ALMERIA,PARAGUAYAS,0.01,12600,Fruta
ALMERIA,PATATA,0.11,179689,Patata
ALMERIA,PAVO,0.01,18900,Pollo
ALMERIA,PEPINO,1.93,3125666,Verdura
ALMERIA,PERA,0.01,8500,Fruta
ALMERIA,PEREJIL,0.27,443475,Verdura
ALMERIA,PESCADILLA,0,3100,Pescado
ALMERIA,PIMIENTO,11.5,18605898,Verdura
ALMERIA,PISTACHO,0,2597,Fruta
ALMERIA,PLATANO,0.03,45951,Fruta
ALMERIA,POLLO,0.02,29580,Pollo
ALMERIA,POMELO,0,5000,Fruta
ALMERIA,PORCINO,0.02,26000,Carne
ALMERIA,PRECOCINADOS,0.01,9000,Verdura
ALMERIA,PUERROS,0.82,1334834,Verdura
ALMERIA,QUINTA,0.02,26800,Verdura
ALMERIA,RABANILLAS,0,1000,Verdura
ALMERIA,RABANOS,0.03,48158,Verdura
ALMERIA,RAPE,0,201,Pescado
ALMERIA,REMOLACHA,0.19,307070,Verdura
ALMERIA,ROMANESCU,0,3350,Verdura
