labels,cluster,totals
ley,16,155
gobierno,12,77
derecho,16,70
comunidades autónomas,16,53
constitución,6,53
congreso,7,52
miembros,12,53
derechos,16,47
cortes generales,4,42
caso,19,42
ejercicio,13,42
rey,12,39
cámaras,7,38
leyes,16,31
orgánica,19,32
diputados,7,30
presidente,12,30
funciones,12,30
poderes públicos,8,31
regulará,13,29
términos,19,27
régimen,16,24
título,16,24
estatutos,19,23
mayoría,20,24
administración,15,22
forma,6,23
así como,9,23
plazo,20,23
españa,5,22
estatuto,20,22
españoles,8,21
comunidad autónoma,2,21
sin perjuicio,11,21
mayoría absoluta,20,20
consejo,12,21
social,2,21
normas,16,20
senado,7,19
legislación,2,19
territorio,2,19
principios,3,19
procedimiento,4,19
tribunal constitucional,13,17
tratados,5,18
ciudadanos,9,16
propuesta,12,18
iniciativa,20,18
libertades,16,15
casos,6,17
apartado,6,17
público,14,17
autonomía,19,17
establezca,16,15
tribunales,3,16
seguridad,8,15
política,2,15
efectos,10,15
años,12,13
reconoce,6,16
deberán,10,15
proyecto,7,14
corresponde,10,15
edad,1,15
cámara,7,14
órganos,19,15
competencias,19,15
defensa,8,15
públicos,9,13
senadores,7,15
todo caso,15,15
pública,18,13
tribunal,14,15
libertad,8,13
órgano,20,14
presupuestos,18,14
establecido,6,14
mandato,12,13
lo dispuesto,17,14
bases,18,14
judicial,9,13
económica,2,13
competencia,11,13
funcionamiento,9,13
condiciones,9,13
organización,15,13
poder judicial,13,11
desarrollo,2,13
proyectos,4,12
aprobación,4,12
autorización,11,12
disposiciones,16,12
referéndum,20,12
delegación,4,11
protección,2,11
español,5,12
disolución,7,12
interés general,2,10
generales,18,11
deberá,4,12
constitucional,7,11
servicios,3,12
jueces,13,11
previstos,6,11
medios,2,11
aprobado,7,11
elecciones,6,10
provincias,19,11
respectivos,19,11
personas,5,11
reforma,4,11
representación,17,11
previa,17,11
interés,2,10
carácter,16,10
persona,17,10
formas,16,10
texto,7,10
control,18,9
estatal,2,10
apartado anterior,7,10
responsabilidad,11,10
internacionales,5,9
previsto,6,10
materias,18,10
capítulo,3,10
ningún caso,16,10
asamblea,12,10
reconocidos,16,10
orden,17,10
asimismo,8,10
ámbito territorial,11,10
confianza,7,10
actividad,14,10
participación,3,9
garantiza,3,9
establecerá,9,9
arreglo,16,9
ejercer,17,9
recursos,2,9
ministros,12,9
sesiones,12,8
supremo,14,9
corona,1,8
gestión,11,9
legislativa,4,9
convenios,5,8
correspondientes,19,9
marco,16,9
excepción,10,8
electoral,20,8
provincia,20,9
medidas,5,9
intereses,8,8
prevista,6,9
promoverán,8,9
justicia,14,9
período,12,9
jurídico,3,9
obligaciones,5,9
locales,19,9
principio,16,9
respeto,8,9
fundamentales,8,7
libre,3,9
refiere,19,9
meses,7,8
pleno,9,8
políticos,17,8
siguientes,4,8
económico,2,8
deberes,5,8
declaración,6,8
fuere,1,8
correspondiente,4,8
sistema,3,8
sufragio,9,8
supuestos,15,8
elección,17,8
